date,location,new_cases,total_cases,new_deaths,total_deaths
2014-03-22,West Africa Combined,52,52,31,31
2014-03-29,West Africa Combined,42,94,17,48
2014-04-05,West Africa Combined,35,129,12,60
2014-04-12,West Africa Combined,24,153,10,70
2014-04-19,West Africa Combined,21,174,6,76
2014-04-26,West Africa Combined,26,200,9,85
2014-05-03,West Africa Combined,17,217,9,94
2014-05-10,West Africa Combined,18,235,8,102
2014-05-17,West Africa Combined,25,260,12,114
2014-05-24,West Africa Combined,38,298,16,130
2014-05-31,West Africa Combined,53,351,27,157
2014-06-07,West Africa Combined,74,425,35,192
2014-06-14,West Africa Combined,105,530,51,243
2014-06-21,West Africa Combined,156,686,75,318
2014-06-28,West Africa Combined,178,864,85,403
2014-07-05,West Africa Combined,216,1080,106,509
2014-07-12,West Africa Combined,239,1319,117,626
2014-07-19,West Africa Combined,259,1578,129,755
2014-07-26,West Africa Combined,303,1881,152,907
2014-08-02,West Africa Combined,351,2232,172,1079
2014-08-09,West Africa Combined,418,2650,208,1287
2014-08-16,West Africa Combined,474,3124,237,1524
2014-08-23,West Africa Combined,561,3685,280,1804
2014-08-30,West Africa Combined,628,4313,312,2116
2014-09-06,West Africa Combined,737,5050,367,2483
2014-09-13,West Africa Combined,841,5891,419,2902
2014-09-20,West Africa Combined,913,6804,453,3355
2014-09-27,West Africa Combined,920,7724,458,3813
2014-10-04,West Africa Combined,943,8667,469,4282
2014-10-11,West Africa Combined,967,9634,480,4762
2014-10-18,West Africa Combined,988,10622,490,5252
2014-10-25,West Africa Combined,1000,11622,495,5747
2014-11-01,West Africa Combined,993,12615,493,6240
2014-11-08,West Africa Combined,1022,13637,507,6747
2014-11-15,West Africa Combined,1011,14648,501,7248
2014-11-22,West Africa Combined,993,15641,493,7741
2014-11-29,West Africa Combined,934,16575,465,8206
2014-12-06,West Africa Combined,884,17459,440,8646
2014-12-13,West Africa Combined,786,18245,391,9037
2014-12-20,West Africa Combined,700,18945,348,9385
2014-12-27,West Africa Combined,596,19541,295,9680
2015-01-03,West Africa Combined,503,20044,249,9929
2015-01-10,West Africa Combined,412,20456,204,10133
2015-01-17,West Africa Combined,331,20787,164,10297
2015-01-24,West Africa Combined,264,21051,130,10422
2015-01-31,West Africa Combined,207,21258,102,10524
2015-02-07,West Africa Combined,163,21421,80,10604
2015-02-14,West Africa Combined,132,21553,64,10668
2015-02-21,West Africa Combined,106,21659,51,10719
2015-02-28,West Africa Combined,76,21735,36,10755
2015-03-07,West Africa Combined,58,21793,28,10783
2015-03-14,West Africa Combined,52,21845,25,10808
2015-03-21,West Africa Combined,49,21894,24,10832
2015-03-28,West Africa Combined,54,21948,26,10858
2015-04-04,West Africa Combined,48,21996,23,10881
2015-04-11,West Africa Combined,38,22034,18,10899
2015-04-18,West Africa Combined,27,22061,12,10911
2015-04-25,West Africa Combined,21,22082,9,10920
2015-05-02,West Africa Combined,18,22100,8,10928
2015-05-09,West Africa Combined,13,22113,6,10934
2015-05-16,West Africa Combined,10,22123,4,10938
2015-05-23,West Africa Combined,9,22132,4,10942
2015-05-30,West Africa Combined,6,22138,2,10944
2015-06-06,West Africa Combined,7,22145,3,10947
2015-06-13,West Africa Combined,4,22149,1,10948
2015-06-20,West Africa Combined,2,22151,1,10949
